title,abstract,authors,keywords,year,citations
finland has a new national declaration for open science and research and the keyword is community,finland s 2025 revision of the national declaration for open science and research demonstrates a community driven approach to policy making the research community led by over 400 experts from diverse research organisations contributed through workshops public hearings and ongoing expert panels by emphasising co creation the process strengthened academic freedom fostered shared ownership and produced a declaration focused on active commitments guiding principles and contemporary challenges such as research security and responsible openness finland s model shows how structured coordination can turn broad participation into robust actionable and widely supported open science policy,Henriikka Mustajoki; Jonni Karlsson,declaration; political science; process (computing); public relations; public administration; open_science; open research; engineering ethics; public engagement; science policy; national security; government (linguistics); european research area; open government; public policy; public interest; library science,2025.0,1
decentralized identity management mitigating data breaches using blockchain based self sovereign identity,self sovereign identity models and decentralized blockchain based identity management can prevent digital ecosystem data breaches and misuse the study finds as digital services proliferate and personal data becomes more valuable central database based identity systems expose users to single point failures unauthorized access identity theft and large scale breaches this paper analyzes how decentralized ids verifiable credentials and cryptographic verification reduce middlemen enable selective disclosure and promote identity governance privacy important academic industrial and technical contributions show that blockchain anchors credentials in distributed ledgers rather than institutional repositories improving authentication traceability and tamper resistance while limiting undesired access immutable audit trails user controlled credentials and reduced central authority dependency have been touted but empirical performance data scalability interoperability and comparative evaluations of public and permissioned blockchain environments are lacking these findings explain self sovereign identity architecture which lets trusted authority issue credentials but users store and control them directly through digital wallets utilizing cryptographic proofs instead of database lookups users can control or withdraw data sharing while maintaining identity transparency limited disclosure and contextual data presentation prevent cross platform tracking and increase user autonomy the research shows how zero knowledge proofs and predicate based validation verify credentials without disclosing sensitive data protecting privacy birthdates and locations are not needed to verify age and location based limits ssi master key derived domain specific identities reduce correlation hazards and prevent service surveillance consent based sharing selective disclosure and cryptographic compartmentalization decrease data collection and profiling decentralised blockchain verification maintains credentials usable when the issuer is offline preventing service disruptions and third party participation,Venkata Krishna Bharadwaj Parasaram,computer security; computer science; digital identity; data breach; identity management; internet privacy; delegation; identity (music); authentication (law); cryptography; data integrity; information privacy; verifiable secret sharing; data protection act 1998; service (business); identity theft; access control; cryptographic protocol; security token; trusted computing; usable; trusted third party; data security; tamper resistance; audit; data sharing; data quality; business; cryptographic primitive,2023.0,5
a systematic review of the use of blockchain in healthcare,blockchain technology enables a decentralized and distributed environment with no need for a central authority transactions are simultaneously secure and trustworthy due to the use of cryptographic principles in recent years blockchain technology has become very trendy and penetrated different domains mostly due to the popularity of cryptocurrencies one field where blockchain technology has tremendous potential is healthcare due to the need for a more patient centric approach to healthcare systems and to connect disparate systems and increase the accuracy of electronic healthcare records ehrs in this systematic review an analysis of state of the art blockchain research in the field of healthcare is conducted the aim is to reveal the potential applications of the technology and to highlight the challenges and possible directions of blockchain research in healthcare first background information is discussed followed by a description of the exact methodology used in this paper next an analysis of the results is given which includes a bibliometric overview an analysis of gathered data and its properties and the results of a literature quality assessment lastly there is a discussion of the results from the analysis the findings indicate that blockchain technology research in healthcare is increasing and it is mostly used for data sharing managing health records and access control other scenarios are very rare most research is aimed at presenting novel structural designs in the form of frameworks architectures or models findings also show that technical details about the used blockchain elements are not given in most of the analyzed publications and that most research does not present any prototype implementation or implementation details often even with a prototype implementation no details about blockchain elements are given,Marko Hölbl; Marko Kompara; Aida Kamišalić; Lili Nemec Zlatolas,blockchain; computer science; cryptocurrency; data science; health care; popularity; field (mathematics); quality (philosophy); big data; knowledge management; computer security; data mining; epistemology; social psychology; philosophy; pure mathematics; psychology; mathematics; economics; economic growth,2018.0,670
why so many repositories examining the limitations and possibilities of the institutional repositories landscape,academic libraries fail to take advantage of the network effect because they manage too many digital repositories locally while this argument applies to all manner of digital repositories this article examines the fragmented environment of institutional repositories ir in which effort and costs are duplicated numerous software platforms and versions are managed simultaneously metadata are applied inconsistently users are served poorly and libraries are unable to take advantage of collective data about content and users in the meantime commercial ir vendors and academic social networks have shown much greater success with cloud based models collectively the library profession has enough funding to create a national level ir but it lacks the willingness to abandon local control,Kenning Arlitsch; Carl Grant,metadata; cloud computing; world wide web; argument (complex analysis); computer science; digital library; software; business; data science; poetry; literature; programming language; chemistry; operating system; biochemistry; art,2018.0,41
social media data archives in an api driven world,abstract in this article we explore the long term preservation implications of application programming interfaces apis which govern access to data extracted from social media platforms we begin by introducing the preservation problems that arise when apis are the primary way to extract data from platforms and how tensions fit with existing models of archives and digital repository development we then define a range of possible types of api users motivated to access social media data from platforms and consider how these users relate to principles of digital preservation we discuss how platforms policies and terms of service govern the set of possibilities for access using these apis and how the current access regime permits persistent problems for archivists who seek to provide access to collections of social media data we conclude by surveying emerging models for access to social media data archives found in the usa including community driven not for profit community archives university research repositories and early industry academic partnerships with platforms given the important role these platforms occupy in capturing and reflecting our digital culture we argue that archivists and memory workers should apply a platform perspective when confronting the rich problem space that social platforms and their apis present for the possibilities of social media data archives asserting their role as developer stewards in preserving culturally significant data from social media platforms,Amelia Acker; Adam Kreisberg,social media; world wide web; computer science; application programming interface; data science; cultural heritage; data access; political science; database; law; programming language,2019.0,79
people s information security during a pandemic and in the post pandemic period as a systemic phenomenon in terms of their protectedness,this paper shares the findings from a study that assessed the level of a person s information security during a pandemic and in the post pandemic period the base for the study was advertising and textual and visual content with theoretical academic practical medical cultural educational social and social political narratives containing information about covid 19 an acute respiratory disease caused by the sars cov 2 coronavirus the authors analyzed materials from leading media outlets in ukraine russia the uk germany poland the czech republic spain and italy and from the official website of the world health organization who for a better insight into the ongoing processes the following key groups of threats to one s information security wereidentified another person groups of people collectives masses and social institutions programming and technical means and information telecommunications systems structured channels for dissemination of mass information the more tangible impacts on one s information security within the specialized information space segment were investigated in the third group of threats namely at the level of analysis of structured channels for dissemination of mass information based on their analysis of the latest information flows the authors developed a special socio communication model for ensuring a person s security in times of epidemics and crises that covers principles of informing the public such as filling the information space with various conceptual markers ensuring proper professional information interpretation of various phenomena and processes undertaking the innovative enhancement of the sphere of information production and diffusion ensuring a universal individual nature the authors suggest that the study of content in local regional statewide and international media resources potentially can serve as a crucial knowledge base for comprehending all significant characteristics of informing the public in times of societal disruption the authors exploration of information flowing across multiple media channels helped them gain a better understanding of the need for and utility ofverifying and fact checking information to ensure the meeting of information needs and proper performance of relevant roles in society with the following key characteristics of good information identified value relevance objectivity reliability completeness comprehensibility and adequacy copyright 2021 by academic publishing house researcher s r o,Volodymyr Sadivnychyi; Mykola S. Nazarov; Andrii E. Lebid; Natalya A. Shevchenko,pandemic; phenomenon; period (music); coronavirus disease 2019 (covid-19); political science; medicine; epistemology; philosophy; infectious disease (medical specialty); aesthetics; disease; pathology,2021.0,1
open scientific data analytics of european and national standards for quality interoperability and safety,the article analyzes european and national standards regarding the quality interoperability and security of data in the context of open scientific data today in the european union there are progressive developments at the legislative level regarding the quality interoperability and security of open data in particular scientific data these are iso standards directives recommendations guidelines regulations etc however national legislative norms mostly concern the field of interoperability and security of open data regarding data interoperability the law of ukraine on access to public information provides for public information to be provided in the form of open data by default while research data open scientific data does not belong to its scope to ensure management information security and information protection the government plans to implement iso 20000 iso 27001 standards in the field of research infrastructure management and information protection in the field of research it should be noted that in the decree of the cabinet of ministers of ukraine no 892 r on the approval of the national plan for open science as in other resolutions the main emphasis is placed on the interoperability and security of open scientific data on the basis of a comparison of the european and national regulatory framework we proposed to make changes to laws of ukraine on access to public information in particular on access to research data on information on scientific and technical information on scientific and scientific technical activity in particular that all scientific publications obtained as a result of state funded research should be publicly available in addition we emphasize the implementation of the iso iec 25012 2008 data quality model standard and a practical guide to obtaining quality data,Т. В. Рудакова; Yevhenii Shapovalov; Tetyana Kuznetsova; Serhii Zharinov,interoperability; analytics; data science; quality (philosophy); data quality; computer science; data analysis; business; world wide web; data mining; epistemology; philosophy; marketing; metric (unit),2023.0,1
scientific integrity principles and best practices recommendations from a scientific integrity consortium,a scientific integrity consortium developed a set of recommended principles and best practices that can be used broadly across scientific disciplines as a mechanism for consensus on scientific integrity standards and to better equip scientists to operate in a rapidly changing research environment the two principles that represent the umbrella under which scientific processes should operate are as follows 1 foster a culture of integrity in the scientific process 2 evidence based policy interests may have legitimate roles to play in influencing aspects of the research process but those roles should not interfere with scientific integrity the nine best practices for instilling scientific integrity in the implementation of these two overarching principles are 1 require universal training in robust scientific methods in the use of appropriate experimental design and statistics and in responsible research practices for scientists at all levels with the training content regularly updated and presented by qualified scientists 2 strengthen scientific integrity oversight and processes throughout the research continuum with a focus on training in ethics and conduct 3 encourage reproducibility of research through transparency 4 strive to establish open science as the standard operating procedure throughout the scientific enterprise 5 develop and implement educational tools to teach communication skills that uphold scientific integrity 6 strive to identify ways to further strengthen the peer review process 7 encourage scientific journals to publish unanticipated findings that meet standards of quality and scientific integrity 8 seek harmonization and implementation among journals of rapid consistent and transparent processes for correction and or retraction of published papers 9 design rigorous and comprehensive evaluation criteria that recognize and reward the highest standards of integrity in scientific research,Alison Kretser; Delia Murphy; Stefano Bertuzzi; Todd Abraham; David B. Allison; Kathryn J. Boor; Johanna Dwyer; Andrea Grantham; Linda J. Harris; Rachelle D. Hollander; Chavonda Jacobs-Young; Sarah Rovito; Dorothea K. Vafiadis; Catherine E. Woteki; Jessica Wyndham; Rickey Y. Yada,scientific integrity; transparency (behavior); engineering ethics; best practice; publication; harmonization; scientific misconduct; research integrity; process (computing); philosophy of science; academic integrity; scientific evidence; data integrity; research ethics; quality (philosophy); computer science; political science; medicine; engineering; law; computer security; philosophy; alternative medicine; operating system; acoustics; physics; epistemology; pathology,2019.0,168
open science research integrity and research security,,Jesus Rodriguez-Pomeda,computer security; computer science; business; government (linguistics); key (lock); internet privacy; information security; context (archaeology); data security; open research,2025.0,0
on the prospects of blockchain and distributed ledger technologies for open science and academic publishing,distributed ledger technologies such as blockchains and smart contracts have the potential to transform many sectors ranging from the handling of health records to real estate here we discuss the value proposition of these technologies and cryptocurrencies for science in general and academic publishing in specific we outline concrete use cases provide an informal model of how the semantic web journal s peer review workflow could benefit from distributed ledger technologies and also point out challenges in implementing such a setup,Krzysztof Janowicz; Blake Regalia; Pascal Hitzler; Gengchen Mai; Stephanie Delbecque; Maarten Fröhlich; Patrick Martinent; Trevor Lazarus,blockchain; distributed ledger; ledger; publishing; open_science; scientific publishing; computer science; library science; world wide web; political science; business; computer security; accounting; law; mathematics; statistics,2018.0,60
open data grey data and stewardship universities at the privacy frontier,as universities recognize the inherent value in the data they collect and hold they encounter unforeseen challenges in stewarding those data in ways that balance accountability transparency and protection of privacy academic freedom and intellectual property two parallel developments in academic data collection are converging 1 open access requirements whereby researchers must provide access to their data as a condition of obtaining grant funding or publishing results in journals and 2 the vast accumulation of grey data about individuals in their daily activities of research teaching learning services and administration the boundaries between research and grey data are blurring making it more difficult to assess the risks and responsibilities associated with any data collection many sets of data both research and grey fall outside privacy regulations such as hipaa ferpa and pii universities are exploiting these data for research learning analytics faculty evaluation strategic decisions and other sensitive matters commercial entities are besieging universities with requests for access to data or for partnerships to mine them the privacy frontier facing research universities spans open access practices uses and misuses of data public records requests cyber risk and curating data for privacy protection this paper explores the competing values inherent in data stewardship and makes recommendations for practice drawing on the pioneering work of the university of california in privacy and information security data governance and cyber risk,Christine L. Borgman,information privacy; transparency (behavior); accountability; open data; data protection act 1998; stewardship (theology); internet privacy; intellectual property; corporate governance; data governance; business; frontier; public relations; computer science; computer security; political science; data quality; world wide web; law; finance; politics; metric (unit); marketing,2018.0,29
the benefits and challenges of online player tracking,player tracking analyses have important implications for safer gambling behaviour and research however mandatory single player models generate important debates around player privacy and data integrity further issues concern the viability of centralised controls in multi operator environments and the preference for risk focused dynamic behaviour monitoring over compliance models involving static limits in their article newall and swanton 1 make many important observations about the significance of online tracking for academic research and in the development of safer gambling measures on the whole i agree with many of their arguments online tracking data provide a valuable source of insights into actual gambling behaviour and associated harms 2 such information whether used retrospectively or in real time can be used to inform safer gambling practices 3 4 these include the application of play limits the provision of player information self exclusion policies and the development of harm indicators risk detection algorithms 5 6 it is observed that although some single operators have developed technology in these areas there are fundamental challenges on the demand side people can use multiple operators and accounts or set non binding play limits whereas on the supply side there may be difficulties gaining consistency across multiple operators or where some gambling is offered offline 2 for these reasons the authors discuss the benefits of a single customer view in which the access point for all gambling might be via an independent organisation that provides monitoring and aggregate safer gambling functionality 1 although such a model is being discussed in some countries e g united kingdom 6 and is partially implemented in some scandinavian countries 7 there are several practical challenges first the consolidation of large amounts of data in a single place presumably in combination with a know your customer system raises concerns around player privacy not only could such information be accessed by third parties for other purposes e g credit agencies loan approvers with detrimental consequences for customers it creates a target or honey pot for cyber attackers a second issue is the ability to apply tracking in countries with state or province based laws for example in australia laws relating to online gambling are applied federally whereas all other forms of land based gambling are subject to state laws each jurisdiction has multiple sectors casinos hotels and clubs and within these there are separate operators e g chains or hotels or club syndicates a third practical issue is the danger of leakage effects in the form of an outflow of higher risk customers to unregulated sites elsewhere using either fiat off ramps e g paypal or direct transfers of value using decentralised blockchain based wallets such sites may have few safer gambling provisions moreover on the conceptual and design side there is the issue of the specifications of aggregated limit setting and monitoring how does one determine appropriate levels of expenditure a commonly suggested solution are affordability checks 8 but establishing wealth is a complex process e g cashflow vs asset worth and could arguably be seen as a form of discrimination based on social class other authors propose so called low risk gambling limits 9 10 that could be used to alert operators to higher than healthy levels of expenditure but determining what is risky or affordable particularly when there may be semi professional and high value sports bettors may again pose difficulties in my view a stronger approach may be to look for genuine indicators of harm rather than focus on static gambling limits current literature indicates that the incidence of these reliably differs between problem and non problem gamblers examples include declined deposits reversed withdrawals frequent in session top ups or gambling at unusual hours 11 15 importantly such work suggests the importance of real time changes in behaviour rather than focusing so much on how long or how much people spend which raises the concerns above one looks for statistically unusual spikes or patterns an accumulation of risk indicators which occur across time operators may therefore be required to provide dynamic tools that measure and monitor real time risk and to provide evidence of their success in reducing harm however such insights require greater technical proficiency and potentially greater operator government collaboration such systems could still potentially include a state sanctioned default limit but require customers to opt in to change the amount while also completing a risk assessment as newall and swanton 1 observe such work can often only be pursued through industry collaboration several models are possible here industry might be asked to provide data and evidence to researchers which is then reported to a regulatory body e g nower and glynn 8 alternatively the industry might conduct its own research which is independently reviewed a third option is for data to be made available to academic research with measures in place to ensure appropriate independence of analysis and reporting 9 the role of the regulator would be to ensure that the risk protections applied by industry meet certain evidence standards and are subject to periodic review open access publishing facilitated by the university of adelaide as part of the wiley the university of adelaide agreement via the council of australian university librarians i have undertaken research into online player tracking which has received industry support kindred my consulting role has been confined to conducting data requests statistical analysis and reporting such industry collaborations i believe to be central to advancing knowledge in this area to gain access to relevant data product differences and the best areas for regulatory reform my commentary on this article is not commercially influenced by this work and based on my direct observations and knowledge of the academic literature,Paul Delfabbro,tracking (education); computer science; psychology; internet privacy; pedagogy,2024.0,1
