topic_id,name,representative_titles,representative_abstracts,label,classification,keep/remove
15,15_industry_manufacturing_industrial_i4,industrial artificial intelligence in industry 4 0 systematic review challenges and outlook | industry 5 0 or industry 4 0s introduction to industry 4 0 and a peek into the prospective industry 5 0 technologies | advanced technologies for industrial applications,the advent of the industry 4 0 initiative has made it so that manufacturing environments are becoming more and more dynamic connected but also inherently more complex with additional inter dependencies uncertainties and large volumes of data being generated recent advances in industrial artificial intelligence have showcased the potential of this technology to assist manufacturers in tackling the challenges associated with this digital transformation of cyber physical systems through its data driven predictive analytics and capacity to assist decision making in highly complex non linear and often multistage environments however the industrial adoption of such solutions is still relatively low beyond the experimental pilot stage as real environments provide unique and difficult challenges for which organizations are still unprepared the aim of this paper is thus two fold first a systematic review of current industrial artificial intelligence literature is presented focusing on its application in real manufacturing environments to identify the main enabling technologies and core design principles then a set of key challenges and opportunities to be addressed by future research efforts are formulated along with a conceptual framework to bridge the gap between research in this field and the manufacturing industry with the goal of promoting industrial adoption through a successful transition towards a digitized and data driven company wide culture this paper is among the first to provide a clear definition and holistic view of industrial artificial intelligence in the industry 4 0 landscape identifying and analysing its fundamental building blocks and ongoing trends its findings are expected to assist and empower researchers and manufacturers alike to better understand the requirements and steps necessary for a successful transition into industry 4 0 supported by ai as well as the challenges that may arise during this process | automation and digitalization as long term evolutionary processes cause significant effects such as the transformation of occupations and job profiles changes to employment forms and a more significant role for the platform economy generating challenges for social policy this systematic literature review aims to provide an overview of the research to date related to influences of the industry 4 0 revolution on human capital development and consumer behavior a search on the web of science identified 160 papers that met the inclusion criteria the major objectives aimed to identify the main types of influences of the industry 4 0 revolution on human capital development and consumer behavior the main opportunities and challenges for new directions in education associated with shifting the work environment and the drivers for human capital development and consumer behavior through the lenses of the industry 4 0 revolution the results revealed some key aspects for the development of human capital information new jobs the internet technology training education new skills automation communication innovativeness professionals productivity artificial intelligence digitalization e recruitment and the internet of things as well as the main drivers of consumer behavior information e commerce digitalization the internet of things e distribution technology digitalization automation personalized performance artificial intelligence behavior intention e shopping and data mining,,,
16,16_fl_federated_learning_privacy,a review of federated learning methods in heterogeneous scenarios | from federated learning to federated neural architecture search a survey | towards fairness aware federated learning,federated learning emerges as a solution to the dilemma of data silos while safeguarding data privacy particularly relevant in the consumer electronics sector where user data privacy is paramount however federated learning is generally employed in a heterogeneous scenario consisting of various factors that influence the training efficiency and accuracy of the federated learning models there are many classic references focusing on federated communications federated robustness and federated fairness conversely few of them clarify and summary systematically the influence of heterogeneity on the effect of federated learning therefore we provide an overview of three heterogeneous challenges faced by federated learning in practical applications device heterogeneity data heterogeneity and model heterogeneity and analyze their influence on federated learning this is especially crucial in consumer electronics where heterogeneity directly influence the performance and user experience of ai driven features and then we highlight current solutions ideas and challenges to compare different strategies for facing heterogeneous problems and outline several directions of future work that are relevant to a wide range of research communities | abstract federated learning is a recently proposed distributed machine learning paradigm for privacy preservation which has found a wide range of applications where data privacy is of primary concern meanwhile neural architecture search has become very popular in deep learning for automatically tuning the architecture and hyperparameters of deep neural networks while both federated learning and neural architecture search are faced with many open challenges searching for optimized neural architectures in the federated learning framework is particularly demanding this survey paper starts with a brief introduction to federated learning including both horizontal vertical and hybrid federated learning then neural architecture search approaches based on reinforcement learning evolutionary algorithms and gradient based are presented this is followed by a description of federated neural architecture search that has recently been proposed which is categorized into online and offline implementations and single and multi objective search approaches finally remaining open research questions are outlined and promising research topics are suggested,,,
17,17_big_data_analytics_healthcare,cybersecurity in big data era from securing big data to data driven security | big graph analytics | big data analytics in healthcare exploring the role of machine learning in predicting patient outcomes and improving healthcare delivery,knowledge is power is an old adage that has been found to be true in today s information age knowledge is derived from having access to information the ability to gather information from large volumes of data has become an issue of relative importance big data analytics bda is the term coined by researchers to describe the art of processing storing and gathering large amounts of data for future examination data is being produced at an alarming rate the rapid growth of the internet internet of things iot and other technological advances are the main culprits behind this sustained growth the data generated is a reflection of the environment it is produced out of thus we can use the data we get out of systems to figure out the inner workings of that system this has become an important feature in cybersecurity where the goal is to protect assets furthermore the growing value of data has made big data a high value target in this paper we explore recent research works in cybersecurity in relation to big data we highlight how big data is protected and how big data can also be used as a tool for cybersecurity we summarize recent works in the form of tables and have presented trends open research challenges and problems with this paper readers can have a more thorough understanding of cybersecurity in the big data era as well as research trends and open challenges in this active research area | analytics over big graphs is becoming a first class challenge in database research with fast growing interest from both the academia and the industrial community this problem arises in several application scenarios ranging from social networks to large scale network systems from knowledge discovery to cybersecurity and so forth following this major trend this paper explores actual state of the art results in the area of analytics over big graphs and discusses open research issues and actual trends in such area,,,
18,18_education_ai_ethical_educational,harnessing ai for sustainable higher education ethical considerations operational efficiency and future directions | ai driven transformations in higher education opportunities and challenges | ethical implications and principles of using artificial intelligence models in the classroom a systematic literature review,as higher education faces technological advancement and environmental imperatives ai becomes a key instrument for revolutionizing instructional methods and institutional operations ai can improve educational outcomes resource management and long term sustainability in higher education according to this study the research uses case studies and best practices to show how ai driven innovations can minimize environmental impact enhance energy efficiency and customize learning creating a more sustainable and inclusive academic environment the document discusses ai ethics including data privacy algorithmic prejudice and the digital divide it emphasizes the need for strong ethical frameworks to use ai ethically and make decisions with transparency and fairness the study also emphasizes the need for robust institutional rules and infrastructure to promote ethical ai integration protecting student privacy and supporting fair access to ai technologies the research also shows how ai driven curriculum building tools can educate students for future sustainability concerns and stimulate research innovation the prospects and difficulties of ai in higher education are critically examined including its potential to change traditional educational roles improve academic performance and maintain institutional profitability actionable recommendations for educators politicians and institutional leaders contribute to the education sustainability conversation focusing on ai and sustainability creates the framework for a future where technology and environmental stewardship are intimately connected ensuring that higher education institutions can prosper in a fast changing world | this research paper explores the potential impact of artificial intelligence ai on higher education the integration of ai has the potential to revolutionize teaching and learning optimize administrative processes and enhance research capabilities the use of adaptive learning systems intelligent tutoring systems and virtual learning assistants powered by ai can help personalize learning provide real time feedback and support and foster increased student engagement moreover ai powered administrative systems can automate routine tasks such as admissions enrollment and financial aid processing freeing up valuable resources for more strategic initiatives the application of predictive analytics empowered by ai can enable universities to harness the power of large datasets to make data driven decisions however ethical considerations potential biases and concerns about faculty roles and pedagogical implications must also be taken into account ensuring fairness transparency and accountability in ai algorithms and protecting student data privacy and security are critical the impact of ai on faculty roles and job displacement is another pressing concern which may require proactive measures to support faculty the paper concludes that responsible and ethical implementation of ai technologies in higher education requires thorough scrutiny of its complex facets including the balance between human driven and ai driven instruction and potential reliance on ai in decision making processes to ensure that ai is used to its full potential for the benefit of students faculty and society,,,
19,19_financial_fraud_credit_banking,addressing bias and data privacy concerns in ai driven credit scoring systems through cybersecurity risk assessment | the ai revolution opportunities and challenges for the finance sector | artificial intelligence and machine learning in combating illegal financial operations bibliometric analysis,the increasing reliance on artificial intelligence ai in credit scoring has raised concerns about algorithmic bias and data privacy necessitating robust cybersecurity risk assessment frameworks this study investigates the role of cybersecurity risk assessment in mitigating these risks utilizing multiple datasets including the home mortgage disclosure act hmda dataset the equifax data breach report the financial cybersecurity incidents database and the mitre att amp ck financial sector threat intelligence dataset we employ statistical fairness metrics bayesian probability modeling markov chain analysis and monte carlo simulations to evaluate the extent of bias privacy risks and cybersecurity vulnerabilities findings reveal significant disparities in loan approvals with black applicants receiving approval rates 28 lower than white applicants 59 83 p lt 0 001 highlighting systemic bias in ai driven credit scoring data privacy remains a pressing issue as financial sector breaches affect an average of 5 069 760 individuals per incident insider threats pose the greatest risk with a probability of 0 81 of leading to financial fraud these findings underscore the urgency of integrating fairness aware machine learning enhancing regulatory compliance with ai governance policies and deploying ai driven cybersecurity tools to fortify financial ai applications against emerging threats this research contributes to the broader discourse on ethical ai by providing a structured cybersecurity risk assessment approach to mitigate algorithmic bias and strengthen data privacy protections implementing these recommendations will enhance fairness security and transparency in ai driven financial decision making ensuring compliance with evolving regulatory frameworks and fostering trust in automated credit scoring systems | this report examines artificial intelligence ai in the financial sector outlining its potential to revolutionise the industry and identify its challenges it underscores the criticality of a well rounded understanding of ai its capabilities and its implications to effectively leverage its potential while mitigating associated risks the potential of ai potential extends from augmenting existing operations to paving the way for novel applications in the finance sector the application of ai in the financial sector is transforming the industry its use spans areas from customer service enhancements fraud detection and risk management to credit assessments and high frequency trading however along with these benefits ai also presents several challenges these include issues related to transparency interpretability fairness accountability and trustworthiness the use of ai in the financial sector further raises critical questions about data privacy and security a further issue identified in this report is the systemic risk that ai can introduce to the financial sector being prone to errors ai can exacerbate existing systemic risks potentially leading to financial crises regulation is crucial to harnessing the benefits of ai while mitigating its potential risks despite the global recognition of this need there remains a lack of clear guidelines or legislation for ai use in finance this report discusses key principles that could guide the formation of effective ai regulation in the financial sector including the need for a risk based approach the inclusion of ethical considerations and the importance of maintaining a balance between innovation and consumer protection the report provides recommendations for academia the finance industry and regulators,,,
20,20_health_digital_apps_mental,digitization of healthcare sector a study on privacy and security concerns | digital transformation for sustainable health and well being a review and future research directions | privacy aware monitoring for assisted living,the digital revolution has taken business sectors to a new height through the advancement of technology the healthcare sector also embraced digital technology to facilitate technological change from mechanical and analogue electronic devices to the digital technology that is available today the common use of digital technology in the healthcare sector includes searching medical knowledge resources monitoring quality patient care and improving clinical support the article presents the impact of technology in healthcare along with the privacy and security concerns related to technology use in healthcare | abstract ensuring good health and well being is one of the crucial sustainable development goals sdgs that aims to promote healthy lives and well being for people of all ages this involves providing affordable and environmentally friendly medical services to the public fairly and equitably good health and well being goals include achieving fair health outcomes and strong healthcare systems it also highlights the importance of integrating sustainable health considerations into the policy frameworks of developing countries which are established to address the social factors that influence health regarding healthcare reform information and communication technologies icts play a pivotal role as key enablers to improve patient access treatment quality and system efficiency this shift in focus also highlights the significance of fostering digital accessibility sustainability inventiveness cybersecurity and digital leadership nevertheless incorporating progressively advancing ict technology into healthcare systems sometimes called digital transformation is not simple however some challenges arise in integration application design and security measures while numerous studies have been suggested to tackle incorporating ict technologies into healthcare systems these studies have had limited scope and have not considered several factors therefore there is a pressing need for an extensive research study focusing on integration technologies design challenges security and privacy challenges application areas and the potential positive and negative effects therefore this paper contributes as the research literature study covering an important sdg good health and well being and its digital transformation along with summarising our research findings in a detailed and taxonomical way first we analyze an all encompassing taxonomy of prior research on healthcare and well being emphasizing incorporating ict in healthcare specifically with sustainability security and privacy challenges design and integration challenges applications associated with electronic health e health and potential future avenues for exploration then we explore the need for digital transformation in healthcare and its significant components highlight e health s importance and benefits explore its integration and design challenges and categorize the security and privacy challenges next we determine the role of blockchain technology as today s leading technology in e health we discuss blockchain technology and its characteristics highlight its benefits and describe the possible types of blockchain based e health use cases furthermore we compare the positive and negative impacts of ict integration and identify open issues and challenges of integrating ict technologies into the healthcare systems we also discuss future research directions strengthening researchers to address the issues in future solutions,,,
21,21_climate_un_change_security,hybrid warfare | we have problems for solutions the state of cybersecurity in bosnia and herzegovina | research at risk global challenges international perspectives and canadian solutions,jats1 p this book is available as open access through the bloomsbury open access programme and is available on www bloomsburycollections com jats1 p jats1 p hybrid warfare refers to a military strategy that blends conventional warfare so called irregular warfare and cyber attacks with other influencing methods such as fake news diplomacy and foreign political intervention as hybrid warfare becomes increasingly commonplace there is an imminent need for research bringing attention to how these challenges can be addressed in order to develop a comprehensive approach towards hybrid threats and hybrid warfare this volume supports the development of such an approach by bringing together practitioners and scholarly perspectives on the topic and by covering the threats themselves as well as the tools and means to counter them together with a number of real world case studies jats1 p jats1 p the book covers numerous aspects of current hybrid warfare discourses including a discussion of the perspectives of key western actors such as nato the us and the eu an analysis of russia and china s hybrid warfare capabilities and the growing threat of cyberwarfare a range of global case studies featuring specific examples from the baltics taiwan ukraine iran and catalonia are drawn upon to demonstrate the employment of hybrid warfare tactics and how they have been countered in practice finally the editors propose a new method through which to understand the dynamics of hybrid threats warfare and their countermeasures termed the hybridity blizzard model with a focus on practitioner insight and practicable international relations theory this volume is an essential guide to identifying analysing and countering hybrid threats and warfare jats1 p | the internet and information communication technologies ict became the most important components in everyday life given the fact that they have altered the behaviour patterns and in many aspects made our lives simpler upcoming internet of things iot will additionally have a positive influence on our quality of life qol however even now the society is extremely vulnerable to disturbances that may affect the functioning of the internet and ict systems and thereby jeopardise the reliability and security of the information they contain the situation becomes even more complicated when iot takes effect and cyber threats exceed the perimeter of information security and include physical security existence and health the world has shyly started to raise questions and perceive problems regarding the iot qol and security issues that it will bring to the cyber space in order to find the appropriate solutions in time bosnia and herzegovina as well as any other modern country needs to take place in these processes and newly opened research fields this paper gives an overview of bosnia and herzegovina s existing cybersecurity infrastructure and capacities in terms of legislation security management structure corresponding cybersecurity units as well as their cooperation and qualification level on that basis it is concluded that cybersecurity is not among the priorities in bosnia and herzegovina the country offers problems for adequate and generally accepted solutions in the cybersecurity domain and needs to work on its readiness to contribute to the safety of iot and cyber space and consequently improving citizens qol,,,
22,22_hr_recruitment_hrm_employee,ai powered recruitment the future of hr digital transformation | predictive analytics in human resources management evaluating aihr s role in talent retention | artificial intelligence integration in personalised learning for employee growth a game changing strategy,in an era marked by rapid technological advancements human resources hr digital transformation has become a strategic imperative for organizations seeking to stay competitive in talent acquisition and management this paper delves into the evolution of hr digital transformation emphasizing the pivotal role played by artificial intelligence ai powered recruitment solutions this paper provides a context for understanding the significance of ai in redefining traditional recruitment practices and the multifaceted role of ai in recruitment highlighting its benefits such as efficiency gains improved candidate matching and enhanced candidate experiences at the same time it addresses the challenges associated with ai adoption including data privacy concerns fairness and bias issues and barriers to implementation the paper then examines various ai technologies deployed in recruitment including chatbots natural language processing nlp machine learning algorithms predictive analytics and video interviews furthermore it presents best practices for organizations looking to implement ai in recruitment successfully covering aspects like strategy development data management fairness considerations and user adoption the paper explores the future of ai powered recruitment highlighting emerging trends potential integrations with other hr functions and the evolving role of hr professionals in the ai era ethical considerations including addressing bias and ensuring transparency are also thoroughly examined to ensure responsible ai adoption through a comprehensive review of the current landscape and ethical considerations this paper equips hr practitioners organizational leaders and researchers with valuable insights into the transformative potential of ai powered recruitment it underscores the importance of strategic ai adoption in hr digital transformation offering a roadmap for organizations seeking to harness ai s capabilities for the future of talent acquisition and management | this study explores the role of artificial intelligence ai in human resource management hrm with a focus on recruitment employee retention and performance optimization through a prisma based systematic literature review the paper examines many machine learning algorithms including xgboost svm random forest and linear regression in decision making related to employee attrition prediction and talent management the findings suggest that these technologies can automate hr processes reduce bias and personalize employee experiences however the implementation of ai in hrm also presents challenges including data privacy concerns algorithmic bias and organizational resistance to address these obstacles the study highlights the importance of adopting ethical ai frameworks ensuring transparency in decision making and developing effective integration strategies future research should focus on improving explainability minimizing algorithmic bias and promoting fairness in ai driven hr practices,,,
23,23_uavs_uav_aerial_unmanned,advancing uav security with artificial intelligence a comprehensive survey of techniques and future directions | internet of drones security taxonomies open issues and future directions | leveraging precision agriculture techniques using uavs and emerging disruptive technologies,the next great innovation in unmanned aerial vehicles uav technology is smart uavs which aim to provide new possibilities in numerous applications there is an increasing usage of uavs in various fields of civil applications including live tracking wireless connectivity distribution of goods remote sensing protection and surveillance precision agriculture and review of civil infrastructure uavs or drones have a tremen dous potential to provide smart farming with various productive solutions internet of things iot technologies together with uavs are anticipated to transform agriculture allowing decision making in days rather than weeks offering substantial cost savings and yield increases these technologies are employed in a number of different ways from monitoring crop status and amount of moisture in soil in real time to using drones to help with activities such as the application of pesticide spray nonethe less the employment of such iot and smart networking technol ogy exposes the smart farming ecosystem to cyber security risks and vulnerabilities this survey gives a detailed understanding of uav applications in precision agriculture pa in this survey we demonstrate a comprehensive analysis on security and privacy in a smart farming scenario in this complex and dispersed cyber physical environment we describe how blockchain technology along with 5g in uavs communication network can dissipate the security issues of the network the survey addresses possible scenarios for cyber threats and the advancement in the fields of machine learning and artificial intelligence that can boost cybersecurity at last the survey outlines open research issues and future directions in the field of cybersecurity in uavs and pa | abstract unmanned aerial vehicles uavs have become indispensable assets across military commercial and civil domains due to their operational flexibility cost efficiency and real time sensing capabilities however the increasing integration of uavs into critical infrastructure combined with their reliance on wireless communications global positioning system and embedded control systems has significantly expanded their cybersecurity attack surface despite growing research efforts a comprehensive understanding of the unique security challenges facing uav systems remains fragmented this survey systematically analyzes the multifaceted cybersecurity threats targeting uav platforms encompassing communication links navigation subsystems onboard controllers and ground control stations we develop a unified threat taxonomy that classifies attacks such as spoofing jamming denial of service hijacking and malware injection and assess their impacts on the core security pillars of confidentiality integrity and availability furthermore existing defense mechanisms including cryptographic protocols intrusion detection systems machine learning based anomaly detection secure routing algorithms and authentication schemes are critically evaluated with respect to their effectiveness scalability resource consumption and suitability for uav specific operational constraints unlike previous surveys this study synthesizes cross layer defense strategies and highlights open research gaps that remain underexplored finally emerging directions such as blockchain integration federated learning and quantum resistant cryptographic frameworks are discussed aiming to inspire robust and adaptive security architectures for next generation uav ecosystems this survey offers valuable insights for researchers system architects and policymakers committed to advancing uav cybersecurity in increasingly contested and dynamic environments,,,
24,24_fintech_financial_banking_payment,a lightweight and secure nfc base mobile payment protocol ensuring fair exchange based on a hybrid encryption algorithm with formal verification | ethical fintech is a new way of banking | systematic literature review information security behaviour on smartphone users,summary during the past few years many near field communication nfc mobile payment protocols have been widely used and received more and more attentions this could be an essential factor for the growth of the world economy and leads to the improvement of the quality of life for human beings the nfc mobile payment is one prominent approach in allowing m commerce to conduct a sales transaction however fair exchange and information security are significant concerns in creating trust among the parties participating in the transaction many nfc mobile payment protocols have been introduced by researchers but most of them still lack some crucial properties of information security and fair exchange and this can be an obstacle to their uses in this article we propose an nfc mobile payment protocol that possesses comprehensive properties of both information security and fair exchange for sales transaction processing the protocol employs both symmetric and asymmetric encryptions hash function and the technique of offline session key generation in order to improve the security while maintaining the lightweight property the fairness analysis shows that the proposed protocol is more competent and effective than others it can resolve any dispute in case one party misbehaves finally the proposed protocol s security has been successfully verified using both burrows abadi and needham ban logic and the scyther tool | the adoption of financial technology fintech and digital banking services has revolutionized the financial industry providing convenience accessibility and cost effective solutions to users however along with its benefits the widespread use of fintech has also raised concerns regarding privacy security consumer protection ethical considerations and regulatory compliance this paper aims to explore the ethical dimensions of fintech adoption and the potential negative consequences associated with it drawing on qualitative research methods including interviews and document analysis the study investigates issues such as consumer privacy data breaches trust financial integrity adoption barriers and ethical controversies in the diffusion of fintech the findings highlight the importance of addressing these ethical concerns to restore digital ethics in the fintech industry and ensure principles such as fairness transparency accountability and access in technology are realized the paper concludes by emphasizing the need for a balance between technological innovation and ethical practices to create a sustainable and responsible future for fintech and digital banking,,,
25,25_chatgpt_llms_language_chat,from chatgpt to threatgpt impact of generative ai in cybersecurity and privacy | scamming the scammers using chatgpt to reply mails for wasting time and resources | chatids explainable cybersecurity using generative ai,undoubtedly the evolution of generative ai genai models has been the highlight of digital transformation in the year 2022 as the different genai models like chatgpt and google bard continue to foster their complexity and capability it s critical to understand its consequences from a cybersecurity perspective several instances recently have demonstrated the use of genai tools in both the defensive and offensive side of cybersecurity and focusing on the social ethical and privacy implications this technology possesses this research paper highlights the limitations challenges potential risks and opportunities of genai in the domain of cybersecurity and privacy the work presents the vulnerabilities of chatgpt which can be exploited by malicious users to exfiltrate malicious information bypassing the ethical constraints on the model this paper demonstrates successful example attacks like jailbreaks reverse psychology and prompt injection attacks on the chatgpt the paper also investigates how cyber offenders can use the genai tools in developing cyber attacks and explore the scenarios where chatgpt can be used by adversaries to create social engineering attacks phishing attacks automated hacking attack payload generation malware creation and polymorphic malware this paper then examines defense techniques and uses genai tools to improve security measures including cyber defense automation reporting threat intelligence secure code generation and detection attack identification developing ethical guidelines incidence response plans and malware detection we will also discuss the social legal and ethical implications of chatgpt in conclusion the paper highlights open challenges and future directions to make this genai secure safe trustworthy and ethical as the community understands its cybersecurity impacts | the use of artificial intelligence ai to support cybersecurity operations is now a consolidated practice e g to detect malicious code or configure traffic filtering policies the recent surge of ai generative techniques and frameworks with efficient natural language processing capabilities dramatically magnifies the number of possible applications aimed at increasing the security of the internet specifically the ability of chatgpt to produce textual contents while mimicking realistic human interactions can be used to mitigate the plague of emails containing scams therefore this paper investigates the use of ai to engage scammers in automatized and pointless communications with the goal of wasting both their time and resources preliminary results showcase that chatgpt is able to decoy scammers thus confirming that ai is an effective tool to counteract threats delivered via mail in addition we highlight the multitude of implications and open research questions to be addressed in the perspective of the ubiquitous adoption of ai,,,
26,26_phishing_detection_email_urls,malicious url detection using machine learning a survey | detection and prevention of spear phishing attacks a comprehensive survey | an investigation of ai based ensemble methods for the detection of phishing attacks,malicious url a k a malicious website is a common and serious threat to cybersecurity malicious urls host unsolicited content spam phishing drive by exploits etc and lure unsuspecting users to become victims of scams monetary loss theft of private information and malware installation and cause losses of billions of dollars every year it is imperative to detect and act on such threats in a timely manner traditionally this detection is done mostly through the usage of blacklists however blacklists cannot be exhaustive and lack the ability to detect newly generated malicious urls to improve the generality of malicious url detectors machine learning techniques have been explored with increasing attention in recent years this article aims to provide a comprehensive survey and a structural understanding of malicious url detection techniques using machine learning we present the formal formulation of malicious url detection as a machine learning task and categorize and review the contributions of literature studies that addresses different dimensions of this problem feature representation algorithm design etc further this article provides a timely and comprehensive survey for a range of different audiences not only for machine learning researchers and engineers in academia but also for professionals and practitioners in cybersecurity industry to help them understand the state of the art and facilitate their own research and practical applications we also discuss practical issues in system design open research challenges and point out some important directions for future research | phishing attacks remain a significant cybersecurity threat in the digital landscape leading to the development of defense mechanisms this paper presents a thorough examination of artificial intelligence ai based ensemble methods for detecting phishing attacks including websites emails and sms through the screening of research articles published between 2019 and 2023 37 relevant studies were identified and analyzed key findings highlight the prevalence of ensemble methods such as adaboost bagging and gradient boosting in phishing attack detection models adaboost emerged as the most used method for website phishing detection while stacking and adaboost were prominent choices for email phishing detection the majority voting ensemble method was frequently employed in sms phishing detection models the performance evaluation of these ensemble methods involves metrics such as accuracy roc auc and f score underscoring their effectiveness in mitigating phishing threats this study also underscores the availability of credible open access datasets for the progressive development and benchmarking of phishing attack detection models the findings of this study suggest the development of new and optimized ensemble methods for phishing attack detection,,,
27,27_covid_19_pandemic_health,human mobility data in the covid 19 pandemic characteristics applications and challenges | the multifaceted role of mobile technologies as a strategy to combat covid 19 pandemic | data journalism and the covid 19 pandemic opportunities and challenges,the covid 19 pandemic poses unprecedented challenges around the world many studies have applied mobility data to explore spatiotemporal trends over time investigate associations with other variables and predict or simulate the spread of covid 19 our objective was to provide a comprehensive overview of human mobility open data to guide researchers and policymakers in conducting data driven evaluations and decision making for the covid 19 pandemic and other infectious disease outbreaks we summarized the mobility data usage in covid 19 studies by reviewing recent publications on covid 19 and human mobility from a data oriented perspective we identified three major sources of mobility data public transit systems mobile operators and mobile phone applications four approaches have been commonly used to estimate human mobility public transit based flow social activity patterns index based mobility data and social media derived mobility data we compared mobility datasets characteristics by assessing data privacy quality space time coverage high performance data storage and processing and accessibility we also present challenges and future directions of using mobility data this review makes a pivotal contribution to understanding the use of and access to human mobility data in the covid 19 pandemic and future disease outbreaks | the coronavirus 2019 covid 19 outbreak in china rapidly spread throughout the world becoming a threatening pandemic with unprecedented consequences mobile technologies have led to a revolution in health and their applicability in the context of covid 19 is promising in this commentary we provide an overview of the role that mobile technologies play in the covid 19 pandemic context and discuss the main issues associated four main domains stood out health communication prevention support and research strengthening local surveillance systems geographic contact tracing support for clinical practice and data collection of real time longitudinal data at the population level are some of the main advantages of the applications reported so far the potential conflict to data privacy urges for discussion on their use in a responsible manner along with fair regulation and close monitoring of data collection and process data anonymisation must be a standard and personal data must be deleted after its usage preparation is key for effective containment of a public health crisis and learning lessons on the role of mobile technologies is useful for future challenges in global health it is noteworthy that their use must be driven by an equitable and inclusive orientation and mostly integrated into an articulated policy to respond to the crisis,,,
28,28_chatgpt_language_gpt_human,chatgpt for good on opportunities and challenges of large language models for education | opinion paper so what if chatgpt wrote it multidisciplinary perspectives on opportunities challenges and implications of generative conversational ai for research practice and policy | from human writing to artificial intelligence generated text examining the prospects and potential threats of chatgpt in academic writing,transformative artificially intelligent tools such as chatgpt designed to generate sophisticated text indistinguishable from that produced by a human are applicable across a wide range of contexts the technology presents opportunities as well as often ethical and legal challenges and has the potential for both positive and negative impacts for organisations society and individuals offering multi disciplinary insight into some of these this article brings together 43 contributions from experts in fields such as computer science marketing information systems education policy hospitality and tourism management publishing and nursing the contributors acknowledge chatgpt s capabilities to enhance productivity and suggest that it is likely to offer significant gains in the banking hospitality and tourism and information technology industries and enhance business activities such as management and marketing nevertheless they also consider its limitations disruptions to practices threats to privacy and security and consequences of biases misuse and misinformation however opinion is split on whether chatgpt s use should be restricted or legislated drawing on these contributions the article identifies questions requiring further research across three thematic areas knowledge transparency and ethics digital transformation of organisations and societies and teaching learning and scholarly research the avenues for further research include identifying skills resources and capabilities needed to handle generative ai examining biases of generative ai attributable to training datasets and processes exploring business and societal contexts best suited for generative ai implementation determining optimal combinations of human and generative ai for various tasks identifying ways to assess accuracy of text produced by generative ai and uncovering the ethical and legal issues in using generative ai across different contexts | natural language processing nlp has been studied in computing for decades recent technological advancements have led to the development of sophisticated artificial intelligence ai models such as chat generative pre trained transformer chatgpt these models can perform a range of language tasks and generate human like responses which offers exciting prospects for academic efficiency this manuscript aims at i exploring the potential benefits and threats of chatgpt and other nlp technologies in academic writing and research publications ii highlights the ethical considerations involved in using these tools and iii consider the impact they may have on the authenticity and credibility of academic work this study involved a literature review of relevant scholarly articles published in peer reviewed journals indexed in scopus as quartile 1 the search used keywords such as chatgpt ai generated text academic writing and natural language processing the analysis was carried out using a quasi qualitative approach which involved reading and critically evaluating the sources and identifying relevant data to support the research questions the study found that chatgpt and other nlp technologies have the potential to enhance academic writing and research efficiency however their use also raises concerns about the impact on the authenticity and credibility of academic work the study highlights the need for comprehensive discussions on the potential use threats and limitations of these tools emphasizing the importance of ethical and academic principles with human intelligence and critical thinking at the forefront of the research process this study highlights the need for comprehensive debates and ethical considerations involved in their use the study also recommends that academics exercise caution when using these tools and ensure transparency in their use emphasizing the importance of human intelligence and critical thinking in academic work,,,
