topic,title,year
59,a survey on the application of generative adversarial networks in cybersecurity prospective direction and open research scopes,2024.0
59,a malware classification survey on adversarial attacks and defences,2023.0
59,vuldeepecker a deep learning based system for vulnerability detection,2018.0
59,research trends in deep learning and machine learning for cloud computing security,2024.0
59,robustness in deep learning models for medical diagnostics security and adversarial challenges towards robust ai applications,2024.0
24,hybrid warfare,2021.0
24,r2p after libya and syria engaging emerging powers,2013.0
24,cybersecurity research challenges and course of action,2019.0
24,nato and eu cybersecurity environment and standards,2021.0
24,hybridity conflict and the global politics of cybersecurity,2023.0
36,from static to ai driven detection a comprehensive review of obfuscated malware techniques,2025.0
36,obfuscated malware detection investigating real world scenarios through memory analysis,2023.0
36,tight arms race overview of current malware threats and trends in their detection,2020.0
36,ensemble based classification using neural networks and machine learning models for windows pe malware detection,2021.0
36,a machine learning based survey of adversarial attacks and defenses in malware classification,2023.0
19,addressing bias and data privacy concerns in ai driven credit scoring systems through cybersecurity risk assessment,2025.0
19,the ai revolution opportunities and challenges for the finance sector,2023.0
19,artificial intelligence and machine learning in combating illegal financial operations bibliometric analysis,2024.0
19,ai in the financial sector the line between innovation regulation and ethical responsibility,2024.0
19,investigating credit card payment fraud with detection methods using advanced machine learning,2024.0
32,understanding the gap between perceived threats to and preparedness for cybersecurity,2019.0
32,understanding insiders an analysis of risk taking behavior,2010.0
32,what a waste of time an examination of cybersecurity legitimacy,2023.0
32,cybersecurity regrets i ve had a few je ne regrette,2022.0
32,editorial,2015.0
7,beijing consensus on artificial intelligence and education,2020.0
7,the ethics of artificial intelligence examining the ethical considerations surrounding the development and use of ai,2023.0
7,how do software companies deal with artificial intelligence ethics a gap analysis,2022.0
7,a comprehensive review of ai ethical frameworks challenges and development,2024.0
7,fostering ethical and inclusive ai a human centric paradigm for social impact,2025.0
54,applications of artificial intelligence algorithms in the energy sector,2022.0
54,power system restoration a literature review from 2006 to 2016,2016.0
54,artificial intelligence techniques in smart grid a survey,2021.0
54,ai driven optimization of hybrid renewable energy systems a review of techniques challenges and future direction,2025.0
54,deep learning in smart grid technology a review of recent advancements and future prospects,2021.0
48,researching internet governance,2020.0
48,digital threats to democratic elections how foreign actors use digital techniques to undermine democracy,2018.0
48,social media political polarization and political disinformation a review of the scientific literature,2018.0
48,prevalence of health misinformation on social media systematic review,2020.0
48,multistakeholderism anatomy of an inchoate global institution,2015.0
4,analyzing the analytics data privacy concerns,2018.0
4,the more the better data disclosure between the conflicting priorities of privacy concerns information sensitivity and personalization in e commerce,2022.0
4,putting data privacy regulation into action the differential capabilities of service frontline interfaces,2022.0
4,does industry self regulation of consumer data privacy work,2017.0
4,an empirical analysis of taxpayers fairness preferences from canadas taxpayer bill of rights,2015.0
61,llm potentiality and awareness a position paper from the perspective of trustworthy and responsible ai modeling,2024.0
61,trustworthy ai based performance diagnosis systems for cloud applications a review,2025.0
61,proceedings of the 1st international workshop on trustworthy ai for multimedia computing,2021.0
61,connecting the dots in trustworthy artificial intelligence from ai principles ethics and key requirements to responsible ai systems and regulation,2023.0
61,artificial intelligence ai trust framework and maturity model applying an entropy lens to improve security privacy and ethical ai,2023.0
30,from chatgpt to threatgpt impact of generative ai in cybersecurity and privacy,2023.0
30,scamming the scammers using chatgpt to reply mails for wasting time and resources,2023.0
30,chatids explainable cybersecurity using generative ai,2023.0
30,cyber threat hunting using large language models,2024.0
30,experimental evaluation can humans recognise social media bots,2024.0
28,advancing uav security with artificial intelligence a comprehensive survey of techniques and future directions,2024.0
28,internet of drones security taxonomies open issues and future directions,2022.0
28,leveraging precision agriculture techniques using uavs and emerging disruptive technologies,2024.0
28,cybersecurity challenges and solutions in unmanned aerial vehicles uavs,2025.0
28,unmanned aerial vehicles uavs a survey on civil applications and key research challenges,2019.0
72,the economics of cybersecurity research data sharing,2019.0
72,cyber risk and cybersecurity a systematic review of data availability,2022.0
72,data sharing and use in cybersecurity research,2024.0
72,a literature review of financial losses statistics for cyber security and future trend,2022.0
72,valuing cyber security research datasets,2019.0
69,the future of well being,2024.0
69,fairness audit of machine learning models with confidential computing,2022.0
69,psychological measurement in the information age machine learned computational models,2022.0
69,the role of artificial intelligence ai in shaping data privacy,2024.0
69,the unfair side of privacy enhancing technologies addressing the trade offs between pets and fairness,2024.0
60,digital forensics and cyber forensics investigation security challenges limitations open issues and future direction,2022.0
60,a survey on the internet of things iot forensics challenges approaches and open issues,2020.0
60,opposing agents evolve the research a decade of digital forensics,2024.0
60,best practice of digital laws and digital justice,2024.0
60,challenges in digital forensics,2017.0
27,a lightweight and secure nfc base mobile payment protocol ensuring fair exchange based on a hybrid encryption algorithm with formal verification,2019.0
27,ethical fintech is a new way of banking,2023.0
27,systematic literature review information security behaviour on smartphone users,2022.0
27,cybersecurity threats in fintech a systematic review,2023.0
27,capital markets union and the fintech opportunity,2017.0
56,blockchain based practical and privacy preserving federated learning with verifiable fairness,2023.0
56,blockchain empowered federated learning benefits challenges and solutions,2025.0
56,trustworthy and fair federated learning via reputation based consensus and adaptive incentives,2025.0
56,csfl cooperative security aware federated learning model using the blockchain,2023.0
56,enhancing scalability and reliability in semi decentralized federated learning with blockchain trust penalization and asynchronous functionality,2023.0
26,ai technology in the field of logistics,2023.0
26,an analytical review on the impact of artificial intelligence on the business industry applications trends and challenges,2024.0
26,artificial intelligence in digital marketing automation enhancing personalization predictive analytics and ethical integration,2024.0
26,how artificial intelligence will change the future of marketing,2019.0
26,machine learning driven gamification boosting user engagement in business,2023.0
43,statistical data privacy a song of privacy and utility,2022.0
43,aol4ps a large scale data set for personalized search,2021.0
43,challenge design and lessons learned from the 2018 differential privacy challenges,2021.0
43,a deterministic approach for protecting privacy in sensitive personal data,2022.0
43,comparisons of different clustering algorithms for privacy of online social media network,2021.0
52,explainable ai for cyber physical systems issues and challenges,2024.0
52,explainable artificial intelligence xai for malware analysis a survey of techniques applications and open challenges,2025.0
52,explainable artificial intelligence applications in cyber security state of the art in research,2022.0
52,explainable artificial intelligence in cybersecurity a survey,2022.0
52,explainable ai for cybersecurity automation intelligence and trustworthiness in digital twin methods taxonomy challenges and prospects,2024.0
10,public value of e government services through emerging technologies,2019.0
10,transparency and accountability in digital public services learning from the brazilian cases,2022.0
10,,2020.0
10,gobierno digital e inteligencia artificial una mirada al caso colombiano,2023.0
10,digital transformation in governance the impact of e governance on public administration and transparency,2025.0
40,image based crop disease detection with federated learning,2023.0
40,decentralized learning in healthcare a review of emerging techniques,2023.0
40,the future of digital health with federated learning,2020.0
40,survey of medical applications of federated learning,2024.0
40,fair and privacy preserving alzheimer s disease diagnosis based on spontaneous speech analysis via federated learning,2022.0
57,explainable artificial intelligence xai concepts taxonomies opportunities and challenges toward responsible ai,2019.0
57,a review on explainable artificial intelligence methods applications and challenges,2023.0
57,explainable artificial intelligence xai what we know and what is left to attain trustworthy artificial intelligence,2023.0
57,interpreting black box models a review on explainable artificial intelligence,2023.0
57,interpretable machine learning,2020.0
51,too generous to be fair experiments on the interplay of what when and how in data breach recovery of the hotel industry,2021.0
51,towards protecting organisations data by preventing data theft by malicious insiders,2021.0
51,post data breach use of protective technologies an examination of users dilemma,2020.0
51,empirical analysis of data breach litigation,2014.0
51,is cybersecurity risk factor disclosure informative evidence from disclosures following a data breach,2022.0
64,advancements in 5g technology enhancing connectivity and performance in communication engineering,2022.0
64,programmable data plane applications in 5g and beyond architectures a systematic review,2023.0
64,a survey on security and privacy of 5g technologies potential solutions recent advancements and future directions,2019.0
64,a survey of non orthogonal multiple access for 5g,2018.0
64,wireless communication technologies for safe cooperative cyber physical systems,2018.0
74,influence of online e commerce interaction on consumer satisfaction based on big data algorithm,2023.0
74,the future of social media in marketing,2019.0
74,setting the future of digital and social media marketing research perspectives and research propositions,2020.0
74,navigating consumer behavior in the digital age the role of emerging technologies and ethical considerations,2024.0
74,the effect of digital marketing on purchase intention moderating effect of brand equity,2022.0
55,blockchain technology in the energy sector a systematic review of challenges and opportunities,2018.0
55,blockchain technology on smart grid energy trading and big data security issues challenges and recommendations,2022.0
55,microgrid transactive energy review architectures distributed ledger technologies and market analysis,2020.0
55,application of blockchain technology in sustainable energy systems an overview,2018.0
55,blockchain applications in smart grid review and frameworks,2019.0
31,navigating the digital twin network landscape a survey on architecture applications privacy and security,2024.0
31,a comprehensive state of the art review for digital twin cybersecurity perspectives and open challenges,2024.0
31,digital twin enabling technologies challenges and open research,2020.0
31,digital twin for the oil and gas industry overview research trends opportunities and challenges,2020.0
31,digital twins for health a scoping review,2024.0
25,ai powered recruitment the future of hr digital transformation,2022.0
25,predictive analytics in human resources management evaluating aihr s role in talent retention,2025.0
25,artificial intelligence integration in personalised learning for employee growth a game changing strategy,2023.0
25,utilizing machine learning to predict employee turnover in high stress sectors,2024.0
25,impact of ai in recruitment and talent acquisition,2024.0
58,combating advanced persistent threats challenges and solutions,2024.0
58,a comprehensive survey of advanced persistent threat attribution,2024.0
58,a comprehensive survey of automated advanced persistent threat attribution taxonomy methods challenges and open research problems,2025.0
58,cyber threat intelligence mining for proactive cybersecurity defense a survey and new perspectives,2023.0
58,a comprehensive survey of advanced persistent threat attribution taxonomy methods challenges and open research problems,2024.0
67,on the adoption and deployment of secure and privacy preserving iiot in smart manufacturing a comprehensive guide with recent advances,2025.0
67,a systematic survey of industrial internet of things security requirements and fog computing opportunities,2020.0
67,a survey on industrial internet of things security requirements attacks ai based solutions and edge computing opportunities,2023.0
67,a critical overview of industrial internet of things security and privacy issues using a layer based hacking scenario,2023.0
67,internet of things for system integrity a comprehensive survey on security attacks and countermeasures for industrial applications,2021.0
21,digitization of healthcare sector a study on privacy and security concerns,2023.0
21,digital transformation for sustainable health and well being a review and future research directions,2024.0
21,health information technology and digital innovation for national learning health and care systems,2021.0
21,privacy aware monitoring for assisted living,2025.0
21,the rise of consumer health wearables promises and barriers,2016.0
46,ethical dilemmas and privacy issues in emerging technologies a review,2023.0
46,algorithmic tenancies and the ordinal tenant digital risk profiling in england s private rented sector,2025.0
46,ethical and legal challenges in information system development and implementation,2023.0
46,corporate digital responsibility,2019.0
46,corporate social responsibility csr in the digital age investigating the challenges and future insights,2024.0
42,integrating scp ai scp into arbitration balancing efficiency with fairness and legal compliance,2025.0
42,the impact of artificial intelligence on legal systems challenges and opportunities,2024.0
42,exploring the role of ai in modern legal practice opportunities challenges and ethical implications,2024.0
42,surveying judges about artificial intelligence profession judicial adjudication and legal principles,2024.0
42,legal challenges of artificial intelligence in the field of criminal defense,2023.0
75,privacy preserving schemes for fog based iot applications threat models solutions and challenges,2018.0
75,fog computing security a review of current applications and security solutions,2017.0
75,foundations and evolution of modern computing paradigms cloud iot edge and fog,2019.0
75,secure healthcare data aggregation and transmission in iot a survey,2021.0
75,an intelligent buffalo based secure edge enabled computing platform for heterogeneous iot network in smart cities,2023.0
50,face re identification challenge are face recognition models good enough,2020.0
50,multimodal biometric authentication a review,2024.0
50,recurrent neural networks rnns to improve eeg based person identification,2023.0
50,influence of racial bias in the use of facial recognition applied to access control a critical analysis,2025.0
50,eeg based biometrics for person identification and continuous authentication,2018.0
47,holistic approach of integrated navigation equipment for cybersecurity at sea,2023.0
47,human centred autonomous shipping,2023.0
47,11 cyber physical threat intelligence for critical infrastructures security,2020.0
47,11 toolkit to enhance cyber physical security of critical infrastructures in air transport,2021.0
47,cybersecurity for emaintenance in railway infrastructure risks and consequences,2019.0
15,industrial artificial intelligence in industry 4 0 systematic review challenges and outlook,2020.0
15,industry 5 0 or industry 4 0s introduction to industry 4 0 and a peek into the prospective industry 5 0 technologies,2023.0
15,advanced technologies for industrial applications,2023.0
15,influences of the industry 4 0 revolution on the human capital development and consumer behavior a systematic review,2020.0
15,industry 4 0 technologies for manufacturing sustainability a systematic review and future research directions,2021.0
45,scelvis exploratory single cell data analysis on the desktop and in the cloud,2020.0
45,cbpmanager a web application to streamline the integration of clinical and genomic data in cbioportal to support the molecular tumor board,2021.0
45,mindds connect a federated data platform integrating biobanks for meta cohort building and analysis,2025.0
45,somatic i calr i mutations in myeloproliferative neoplasms with nonmutated i jak2 i,2013.0
45,islandviewer 4 expanded prediction of genomic islands for larger scale datasets,2017.0
41,quantum computing in semantic communications overcoming optimization challenges with high dimensional hilbert spaces,2025.0
41,towards post quantum blockchain a review on blockchain cryptography resistant to quantum computing attacks,2020.0
41,toward a quantum information system cybersecurity taxonomy and testbed exploiting a unique opportunity for early impact,2024.0
41,introduction of quantum computing,2023.0
41,from pre quantum to post quantum iot security a survey on quantum resistant cryptosystems for the internet of things,2019.0
39,increasing cybercrime since the pandemic concerns for psychiatry,2021.0
39,new types of fraud in the academic world by cyber criminals,2015.0
39,a multi level approach to understanding the impact of cyber crime on the financial sector,2014.0
39,investigating and prosecuting cyber crime forensic dependencies and barriers to justice,2015.0
39,mapping the global geography of cybercrime with the world cybercrime index,2024.0
73,issues in ethical data management,2017.0
73,a non expert s introduction to data ethics for mathematicians,2022.0
73,social data biases methodological pitfalls and ethical boundaries,2019.0
73,social media data for environmental sustainability a critical review of opportunities threats and ethical use,2023.0
73,balancing open science and data privacy in the water sciences,2019.0
71,development of the automated information system for organization s information security culture level assessment,2020.0
71,assessment of information security risks for construction enterprises,2022.0
71,an innovative soft design science methodology for improving development of a secure information system in tanzania using multi layered approach,2017.0
71,iso27001 bilgi guvenligi yonetim sisteminde risk analizi,2018.0
71,the it usage for the enterprise s economic security assessment,2023.0
76,scientific integrity in the era of predatory journals insights from an editors in chief symposium,2024.0
76,predator in chief wolves in editors clothing,2018.0
76,nursing academic reviewers perspectives on ai assisted peer review ethical challenges and acceptance,2025.0
76,scholarly conversation through a review response document,2022.0
76,artificial intelligence in peer review enhancing efficiency while preserving integrity,2025.0
66,a review of machine learning approaches to power system security and stability,2020.0
66,multi layer model classifier for cyberattack detection in smart electric grid,2023.0
66,machine learning based intrusion detection for smart grid computing a survey,2023.0
66,security risk modeling in smart grid critical infrastructures in the era of big data and artificial intelligence,2021.0
66,ensemble model based on hybrid deep learning for intrusion detection in smart grid networks,2023.0
65,safeguarding european values with digital sovereignty an analysis of statements and policies,2021.0
65,in search of digital sovereignty and strategic autonomy normative power europe to the test of its geopolitical ambitions,2023.0
65,sovereignty fever the territorial turn of global cyber order,2021.0
65,unthinking digital sovereignty a critical reflection on origins objectives and practices,2024.0
65,rethinking digital borders to address jurisdiction and governance in the global digital economy,2024.0
77,artificial intelligence vs covid 19 limitations constraints and pitfalls,2020.0
77,challenges and opportunities in deploying covid 19 cough ai systems,2021.0
77,artificial intelligence enabled internet of medical things for covid 19 pandemic data management,2022.0
77,artificial intelligence versus covid 19 in developing countries priorities and trade offs,2020.0
77,artificial intelligence ai and big data for coronavirus covid 19 pandemic a survey on the state of the arts,2020.0
70,microgrids a review outstanding issues and future trends,2023.0
70,multi microgrid energy management systems architecture communication and scheduling strategies,2021.0
70,integrating artificial intelligence internet of things and 5g for next generation smartgrid a survey of trends challenges and prospect,2022.0
70,lithium ion battery storage for the grid a review of stationary battery storage system design tailored for applications in modern power grids,2017.0
70,the advanced microgrid integration and interoperability,2014.0
